Name,Price,Product URL,Image URL
Anta X-Game Shoes For Men - White,"EGP 3,217.00",https://www.jumia.com.eg/anta-x-game-shoes-for-men-white-130126894.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/8621031/1.jpg?2718
Nike Flex Experience Rn 11 Running Shoes,"EGP 6,167.00",https://www.jumia.com.eg/nike-flex-experience-rn-11-running-shoes-131477390.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/3774131/1.jpg?5466
ADIDAS RUN 70s 2.0 Shoes - ftwr white,"EGP 2,959.00",https://www.jumia.com.eg/adidas-run-70s-2.0-shoes-ftwr-white-130079875.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/8970031/1.jpg?2125
Nike M Air Max Alpha Trainer 5 Training Shoes,"EGP 7,929.00",https://www.jumia.com.eg/nike-m-air-max-alpha-trainer-5-training-shoes-131477418.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/4774131/2.jpg?3085
Nike Dunk Low Sd Sportswear Shoes,"EGP 11,893.00",https://www.jumia.com.eg/nike-dunk-low-sd-sportswear-shoes-131477456.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/4774131/2.jpg?0200
Nike Court Vision Mid Nn Sportswear Shoes For Men,"EGP 5,932.00",https://www.jumia.com.eg/nike-court-vision-mid-nn-sportswear-shoes-for-men-130976918.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/9679031/1.jpg?2413
Anta Running Shoes For Men - Black,"EGP 2,543.00",https://www.jumia.com.eg/anta-running-shoes-for-men-black-130127011.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/0721031/1.jpg?9392
Anta Running Shoes For Men - Multi Color,"EGP 3,699.00",https://www.jumia.com.eg/anta-running-shoes-for-men-multi-color-130127004.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/0721031/1.jpg?5036
Nike M Zoom Vapor Pro 2 Cly Other Sports Shoes,"EGP 11,250.00",https://www.jumia.com.eg/nike-m-zoom-vapor-pro-2-cly-other-sports-shoes-131477435.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/4774131/2.jpg?1146
Nike M Zoom Vapor Pro 2 Cly Other Sports Shoes,"EGP 11,893.00",https://www.jumia.com.eg/nike-m-zoom-vapor-pro-2-cly-other-sports-shoes-131477436.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/4774131/1.jpg?4656
ADIDAS Grand Court 2.0 Shoes - ftwr white,"EGP 3,014.00",https://www.jumia.com.eg/adidas-grand-court-2.0-shoes-ftwr-white-130079870.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/8970031/1.jpg?9494
mintra Men's Stride Sneakers -  Grey x Black,"EGP 1,183.40",https://www.jumia.com.eg/mintra-mens-stride-sneakers-grey-x-black-130113332.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/3311031/1.jpg?3900
ADIDAS F50 Club Flexible Ground Boots,"EGP 3,689.00",https://www.jumia.com.eg/adidas-f50-club-flexible-ground-boots-130704289.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/2407031/1.jpg?7783
Reebok Court Clean Shoes - White,"EGP 3,014.00",https://www.jumia.com.eg/reebok-court-clean-shoes-white-130148062.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/0841031/1.jpg?8591
Nike Precision Vii Sneakers,"EGP 6,920.00",https://www.jumia.com.eg/nike-precision-vii-sneakers-130986513.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/5689031/2.jpg?3191
Reebok Court Advance Shoes-Low - Black,"EGP 3,391.00",https://www.jumia.com.eg/reebok-court-advance-shoes-low-black-130148043.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/0841031/1.jpg?8612
ADIDAS Grand Court Alpha 00S Shoes Motorsport Shoes - Black,"EGP 3,692.00",https://www.jumia.com.eg/adidas-grand-court-alpha-00s-shoes-motorsport-shoes-black-131457276.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/2754131/1.jpg?8381
Anta X-Game Shoes For Men - Black,"EGP 3,217.00",https://www.jumia.com.eg/anta-x-game-shoes-for-men-black-130127001.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/0721031/1.jpg?4799
Anta Cross-Training Shoes For Men - Black,"EGP 2,212.00",https://www.jumia.com.eg/anta-cross-training-shoes-for-men-black-130127018.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/0721031/1.jpg?4249
ADIDAS Barreda Decode Shoes Sportswear Shoes - Blue,"EGP 3,692.00",https://www.jumia.com.eg/adidas-barreda-decode-shoes-sportswear-shoes-blue-131457243.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/2754131/1.jpg?2164
ADIDAS IH7970 Break Start Mid Shoes,"EGP 4,473.00",https://www.jumia.com.eg/adidas-ih7970-break-start-mid-shoes-122754701.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/7457221/1.jpg?8938
Activ Essential Camel Casual Shoes With Lace Up,"EGP 1,799.10",https://www.jumia.com.eg/activ-essential-camel-casual-shoes-with-lace-up-130260057.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/0062031/1.jpg?7784
Reebok Classic Leather Shoes - Black,"EGP 4,867.00",https://www.jumia.com.eg/reebok-classic-leather-shoes-black-130148041.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/0841031/1.jpg?8538
ADIDAS Kantana Shoes - ftwr white,"EGP 6,550.00",https://www.jumia.com.eg/adidas-kantana-shoes-ftwr-white-130079856.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/8970031/1.jpg?7318
Nike Air Jordan 1 Mid Se Sneakers,"EGP 13,841.00",https://www.jumia.com.eg/nike-air-jordan-1-mid-se-sneakers-130986525.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/5689031/2.jpg?1484
Reebok Court Advance Shoes-Low - White,"EGP 3,391.00",https://www.jumia.com.eg/reebok-court-advance-shoes-low-white-130148039.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/0841031/1.jpg?8851
Activ Leather Slip On Casual Shoes - Burnt Brown,"EGP 2,069.10",https://www.jumia.com.eg/activ-leather-slip-on-casual-shoes-burnt-brown-130260990.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/9062031/1.jpg?8327
Anta X-Game Shoes For Men - Black,"EGP 2,212.00",https://www.jumia.com.eg/anta-x-game-shoes-for-men-black-130126919.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/9621031/1.jpg?5604
ADIDAS LZW99 Kaptir 3.0 Running Shoes - Core Black,"EGP 6,977.00",https://www.jumia.com.eg/adidas-lzw99-kaptir-3.0-running-shoes-core-black-51878606.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/687815/1.jpg?0661
Nike NIKE AIR WINFLO 11 RUNNING Footwears - BLACK/ANTHRACITE,"EGP 11,932.00",https://www.jumia.com.eg/nike-nike-air-winflo-11-running-footwears-blackanthracite-130705329.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/3507031/1.jpg?3553
Anta X-Game Shoes For Men - White/Black,"EGP 3,217.00",https://www.jumia.com.eg/anta-x-game-shoes-for-men-whiteblack-130126893.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/8621031/1.jpg?5020
Activ Slip On Leather Shoes - Black.,"EGP 2,519.10",https://www.jumia.com.eg/activ-slip-on-leather-shoes-black.-130483704.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/7384031/1.jpg?6978
Anta Running Shoes For Men - Multi Color,"EGP 3,217.00",https://www.jumia.com.eg/anta-running-shoes-for-men-multi-color-130126997.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/9621031/1.jpg?7200
Blue Bird B7T Men's Tartan Sneakers Blue,EGP 359.00,https://www.jumia.com.eg/blue-bird-b7t-mens-tartan-sneakers-blue-130149746.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/7941031/1.jpg?2004
White- F.16,EGP 273.00,https://www.jumia.com.eg/generic-white-f.16-130614473.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/4416031/1.jpg?6083
Blue Bird Sport Shoes B7t Boots Football Tartan Black,EGP 359.00,https://www.jumia.com.eg/blue-bird-sport-shoes-b7t-boots-football-tartan-black-130150192.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/1051031/1.jpg?5991
Anta Running Shoes For Men - Grey/Blue,"EGP 2,543.00",https://www.jumia.com.eg/anta-running-shoes-for-men-greyblue-130126912.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/9621031/1.jpg?4876
Anta Running Shoes For Men - Beige,"EGP 3,217.00",https://www.jumia.com.eg/anta-running-shoes-for-men-beige-130126998.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/9621031/1.jpg?5584
Anta Running Shoes For Men - Multi Color,"EGP 3,217.00",https://www.jumia.com.eg/anta-running-shoes-for-men-multi-color-130126884.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/8621031/1.jpg?5153
Anta Running Shoes For Men - Ivry Wht/Blk/Blu,"EGP 5,426.00",https://www.jumia.com.eg/anta-running-shoes-for-men-ivry-whtblkblu-130126885.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/8621031/1.jpg?5191
Nike Air Max Alpha Trainer Men's Workout Shoes Fq1833-002,"EGP 5,399.00",https://www.jumia.com.eg/nike-air-max-alpha-trainer-mens-workout-shoes-fq1833-002-130048577.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/5840031/1.jpg?8741
Nike Men's  Tanjun Flyease Sneaker DV7775-001.,"EGP 2,899.00",https://www.jumia.com.eg/nike-mens-tanjun-flyease-sneaker-dv7775-001.-48289454.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/498284/1.jpg?6403
Nike Downshifter 13 Men's Road Running Shoes FD6454-003,"EGP 4,200.00",https://www.jumia.com.eg/nike-downshifter-13-mens-road-running-shoes-fd6454-003-106066384.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/3660601/1.jpg?7027
Nike Waffle Nav Men's Shoes FJ4195-001,"EGP 5,249.00",https://www.jumia.com.eg/nike-waffle-nav-mens-shoes-fj4195-001-130729394.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/3927031/1.jpg?3155
Skechers MEN'S Relaxed Fit  Ingram 210494-CHAR,"EGP 5,487.30",https://www.jumia.com.eg/skechers-mens-relaxed-fit-ingram-210494-char-73299127.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/199237/1.jpg?0982
